Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250512_165523,1,0.00,64.7
20250512_165523,2,3.04,9.3
20250512_165523,3,6.51,29.8

Statistic,Value
Total Points,3
Average Speed (km/h),34.6
Maximum Speed (km/h),64.7
Minimum Speed (km/h),9.3
