Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250524_154343,1,0.00,61.3
1,20250524_154343,2,4.49,48.9
1,20250524_154343,3,5.82,46.1

Statistic,Value
Total Points,3
Average Speed (km/h),52.1
Maximum Speed (km/h),61.3
Minimum Speed (km/h),46.1
