Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_142821,1,0.00,35.5
1,20250523_142821,2,1.51,54.3
1,20250523_142821,3,2.98,65.6
1,20250523_142821,4,4.50,62.1
1,20250523_142821,5,6.08,45.5
1,20250523_142821,6,8.83,59.9
1,20250523_142821,7,10.14,31.7
1,20250523_142821,8,11.46,63.0
1,20250523_142821,9,12.80,56.0
1,20250523_142821,10,14.11,48.5
1,20250523_142821,11,15.46,48.0
1,20250523_142821,12,16.89,54.2
1,20250523_142821,13,18.25,60.8
1,20250523_142821,14,19.68,49.4
1,20250523_142821,15,21.16,43.1
1,20250523_142821,16,22.56,39.5
1,20250523_142821,17,24.03,47.1
1,20250523_142821,18,25.54,51.7
1,20250523_142821,19,27.09,54.8
1,20250523_142821,20,28.66,48.8
1,20250523_142821,21,30.10,52.9
1,20250523_142821,22,31.54,63.5
1,20250523_142821,23,33.08,42.6
1,20250523_142821,24,34.57,64.4
1,20250523_142821,25,36.09,48.7
1,20250523_142821,26,37.61,38.0

Statistic,Value
Total Points,26
Average Speed (km/h),51.1
Maximum Speed (km/h),65.6
Minimum Speed (km/h),31.7
