Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_134820,1,0.00,35.3
1,20250522_134820,2,1.48,51.0
1,20250522_134820,3,2.96,68.0
1,20250522_134820,4,4.44,41.3
1,20250522_134820,5,5.88,48.0
1,20250522_134820,6,7.44,44.8
1,20250522_134820,7,8.94,54.6
1,20250522_134820,8,10.40,55.2
1,20250522_134820,9,11.97,52.0
1,20250522_134820,10,13.47,58.6
1,20250522_134820,11,15.00,51.6
1,20250522_134820,12,16.52,61.7
1,20250522_134820,13,17.97,42.9
1,20250522_134820,14,19.31,55.5
1,20250522_134820,15,20.57,44.0
1,20250522_134820,16,21.87,53.8
1,20250522_134820,17,23.21,46.0
1,20250522_134820,18,24.52,46.2
1,20250522_134820,19,25.92,44.7
1,20250522_134820,20,27.35,47.2
1,20250522_134820,21,28.67,62.5
1,20250522_134820,22,30.13,42.7
1,20250522_134820,23,31.54,50.2
1,20250522_134820,24,34.52,50.6
1,20250522_134820,25,36.05,44.0
1,20250522_134820,26,37.50,50.5

Statistic,Value
Total Points,26
Average Speed (km/h),50.1
Maximum Speed (km/h),68.0
Minimum Speed (km/h),35.3
