Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250515_164646,1,0.00,147.4

Statistic,Value
Total Points,1
Average Speed (km/h),147.4
Maximum Speed (km/h),147.4
Minimum Speed (km/h),147.4
