Count,Time(s),Speed(km/h)
1,0.00,3.1
2,0.26,16.1
3,0.50,11.5
4,0.83,21.4
5,1.03,3.8
6,1.27,1.6
7,1.52,28.1
8,1.77,2.5
9,2.11,6.7
10,2.39,1.3
11,2.68,5.3
12,2.88,4.7
13,3.08,15.6
14,3.29,5.1
15,3.66,3.5
16,3.88,23.9
17,4.10,14.4
18,4.31,9.1
19,4.59,14.5
20,4.84,10.3
21,5.11,6.1
22,5.38,6.2
23,5.61,27.7
24,5.96,1.8
25,6.23,32.1
26,6.44,8.7

Statistics,,
Average,,11.0
Maximum,,32.1
Minimum,,1.3
