Count,Speed(km/h)
1,0.7
2,9.9
3,36.4
4,5.8
5,8.9
6,8.5
7,14.7
8,7.0
9,0.8
10,18.4

Statistics,
Average,11.1
Maximum,36.4
Minimum,0.7
