Count,Speed(km/h)
1,11.8
2,12.5
3,15.6
4,29.1
5,8.9
6,8.1
7,4.3
8,11.7
9,6.1
10,13.6
11,14.0
12,11.8
13,6.4
14,12.9
15,6.8
16,16.0
17,25.1
18,12.3
19,15.9
20,14.9
21,13.0
22,15.8
23,5.4
24,11.4
25,1.6
26,15.6
27,12.6
28,8.7
29,5.6
30,16.2

Statistics,
Average,12.1
Maximum,29.1
Minimum,1.6
