Count,Speed(km/h)
1,19.0
2,16.7
3,22.5
4,19.6
5,22.2
6,18.7
7,13.8
8,19.7
9,13.8
10,19.9
11,12.6
12,19.0
13,4.8
14,18.5
15,20.4
16,16.4
17,14.3
18,22.2
19,24.7

Statistics,
Average,17.8
Maximum,24.7
Minimum,4.8
