Count,Speed(km/h)
1,11.1
2,17.1
3,13.7
4,8.4
5,17.5
6,10.4
7,14.2
8,20.0
9,17.5
10,11.2

Statistics,
Average,14.1
Maximum,20.0
Minimum,8.4
