Time(s),Speed(km/h)
0.00,5.4
1.23,8.0
2.40,6.3
3.60,9.6
4.81,6.8
5.94,7.4
7.25,8.9
8.45,7.3
9.69,7.5
10.94,6.7
12.10,5.0
13.30,6.8
14.52,6.4
15.73,8.1
16.96,7.4
18.11,4.9
19.28,4.4
20.47,4.3
21.69,8.3
22.90,8.3
24.08,4.3
24.60,0.1
24.91,0.3
25.28,5.7
26.48,4.2
27.76,8.4
28.62,5.4
30.12,4.3
31.27,6.3
33.41,3.1
33.65,24.6
34.49,13.0
34.74,4.0

Statistics,,
Average,,6.7
Maximum,,24.6
Minimum,,0.1
