Count,Speed(km/h)
1,8.1
2,9.7
3,7.9
4,10.1
5,15.9
6,0.1
7,7.1
8,9.1
9,8.0
10,10.4

Statistics,
Average,8.6
Maximum,15.9
Minimum,0.1
