Count,Speed(km/h)
1,3.4
2,10.8
3,15.5
4,18.7
5,10.8
6,4.6
7,13.5
8,16.6
9,11.6
10,11.5
11,11.6
12,11.2
13,18.8
14,10.8
15,6.3
16,11.7
17,16.7
18,16.2
19,3.6
20,11.1
21,13.2
22,19.6
23,15.0
24,17.2
25,19.8
26,14.5
27,1.6

Statistics,
Average,12.4
Maximum,19.8
Minimum,1.6
