Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_135051,1,0.00,37.3
1,20250523_135051,2,3.03,39.7
1,20250523_135051,3,4.50,40.0
1,20250523_135051,4,5.99,34.9
1,20250523_135051,5,7.39,41.3
1,20250523_135051,6,8.89,45.0
1,20250523_135051,7,10.42,44.6
1,20250523_135051,8,11.93,46.4
1,20250523_135051,9,13.41,46.8
1,20250523_135051,10,14.95,50.3
1,20250523_135051,11,17.93,52.1
1,20250523_135051,12,19.41,51.7
1,20250523_135051,13,20.93,54.4
1,20250523_135051,14,22.45,52.6
1,20250523_135051,15,23.95,65.5
1,20250523_135051,16,25.46,53.0
1,20250523_135051,17,26.99,55.5
1,20250523_135051,18,28.40,52.2
1,20250523_135051,19,29.68,46.7
1,20250523_135051,20,31.01,59.7
1,20250523_135051,21,32.38,57.2
1,20250523_135051,22,33.75,51.2
1,20250523_135051,23,35.04,51.4
1,20250523_135051,24,36.43,63.9
1,20250523_135051,25,37.87,62.1
1,20250523_135051,26,39.43,28.7

Statistic,Value
Total Points,26
Average Speed (km/h),49.4
Maximum Speed (km/h),65.5
Minimum Speed (km/h),28.7
