Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250515_165519,1,0.00,50.4

Statistic,Value
Total Points,1
Average Speed (km/h),50.4
Maximum Speed (km/h),50.4
Minimum Speed (km/h),50.4
