Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250512_181902,1,0.00,12.4
20250512_181902,2,0.83,19.3
20250512_181902,3,1.97,20.9
20250512_181902,4,2.82,12.0
20250512_181902,5,4.40,17.8
20250512_181902,6,5.67,17.3
20250512_181902,7,6.81,21.6
20250512_181902,8,7.99,19.6
20250512_181902,9,8.80,65.1
20250512_181902,10,9.13,19.8
20250512_181902,11,10.39,19.1
20250512_181902,12,11.55,11.8
20250512_181902,13,11.85,9.7
20250512_181902,14,12.80,19.9
20250512_181902,15,13.96,17.5
20250512_181902,16,15.22,18.6
20250512_181902,17,16.34,21.1
20250512_181902,18,17.57,30.4
20250512_181902,19,18.70,22.2
20250512_181902,20,19.16,3.3
20250512_181902,21,21.16,20.1

Statistic,Value
Total Points,21
Average Speed (km/h),20.0
Maximum Speed (km/h),65.1
Minimum Speed (km/h),3.3
