Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_135416,1,0.00,32.5
20250521_135416,2,2.19,19.1
20250521_135416,3,2.21,63.6
20250521_135416,4,2.57,32.3
20250521_135416,5,3.99,43.1
20250521_135416,6,5.29,29.9
20250521_135416,7,6.69,50.9
20250521_135416,8,8.04,28.7
20250521_135416,9,9.48,40.1
20250521_135416,10,10.88,28.9
20250521_135416,11,12.29,45.3
20250521_135416,12,13.75,20.5
20250521_135416,13,16.67,32.0
20250521_135416,14,16.68,22.6
20250521_135416,15,19.72,31.6
20250521_135416,16,22.46,33.1
20250521_135416,17,23.79,44.6
20250521_135416,18,25.09,24.9
20250521_135416,19,26.39,40.2
20250521_135416,20,27.76,30.6
20250521_135416,21,29.10,43.5
20250521_135416,22,30.50,25.3
20250521_135416,23,31.93,40.9
20250521_135416,24,33.27,32.9
20250521_135416,25,34.80,47.0
20250521_135416,26,36.22,22.3
20250521_135416,27,37.70,31.7

Statistic,Value
Total Points,27
Average Speed (km/h),34.7
Maximum Speed (km/h),63.6
Minimum Speed (km/h),19.1
