Session ID,Timestamp,Point Number,Relative Time (s),Speed (km/h)
1,20250509_161055,1,0.00,31.1
1,20250509_161055,2,1.10,27.7
1,20250509_161055,3,2.21,29.7
1,20250509_161055,4,3.49,43.8
1,20250509_161055,5,4.72,33.9
1,20250509_161055,6,5.92,35.1
1,20250509_161055,7,7.17,32.4
1,20250509_161055,8,8.38,32.9
1,20250509_161055,9,9.60,29.5
1,20250509_161055,10,10.74,39.2
1,20250509_161055,11,11.95,30.3
1,20250509_161055,12,13.14,32.7
1,20250509_161055,13,14.34,29.5
1,20250509_161055,14,15.47,31.9
1,20250509_161055,15,16.75,25.0
1,20250509_161055,16,17.89,31.3
1,20250509_161055,17,19.09,31.7
1,20250509_161055,18,20.31,34.2
1,20250509_161055,19,21.52,32.4
1,20250509_161055,20,22.74,28.6
1,20250509_161055,21,23.94,32.7
1,20250509_161055,22,25.13,32.7
1,20250509_161055,23,26.31,29.9
1,20250509_161055,24,27.44,38.2
1,20250509_161055,25,28.63,29.1
1,20250509_161055,26,29.86,32.8
1,20250509_161055,27,31.13,29.0

Statistic,Value
Total Points,27
Average Speed (km/h),32.1
Maximum Speed (km/h),43.8
Minimum Speed (km/h),25.0
