Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_152819,1,0.00,41.5
20250521_152819,2,0.01,40.1
20250521_152819,3,4.35,55.3
20250521_152819,4,4.36,56.0
20250521_152819,5,5.77,50.2
20250521_152819,6,5.78,50.3
20250521_152819,7,7.28,41.7
20250521_152819,8,7.29,40.9
20250521_152819,9,8.81,52.5
20250521_152819,10,10.24,47.1
20250521_152819,11,10.24,48.1
20250521_152819,12,13.27,53.4
20250521_152819,13,13.28,52.0
20250521_152819,14,14.80,47.0
20250521_152819,15,16.27,59.9
20250521_152819,16,17.77,52.9
20250521_152819,17,17.78,48.7
20250521_152819,18,20.83,51.6
20250521_152819,19,20.84,50.2
20250521_152819,20,22.31,47.7
20250521_152819,21,22.31,47.3
20250521_152819,22,23.78,62.6
20250521_152819,23,25.25,46.1
20250521_152819,24,26.33,13.0
20250521_152819,25,26.34,15.9
20250521_152819,26,26.70,49.6
20250521_152819,27,26.71,48.2
20250521_152819,28,28.05,47.5
20250521_152819,29,28.06,46.1
20250521_152819,30,29.34,41.1
20250521_152819,31,29.35,43.0
20250521_152819,32,30.67,39.6
20250521_152819,33,30.68,41.3
20250521_152819,34,32.02,45.4
20250521_152819,35,32.03,45.8
20250521_152819,36,33.36,51.5
20250521_152819,37,33.37,50.1
20250521_152819,38,34.73,52.6
20250521_152819,39,34.73,51.8
20250521_152819,40,36.13,43.1
20250521_152819,41,36.14,42.0

Statistic,Value
Total Points,41
Average Speed (km/h),46.6
Maximum Speed (km/h),62.6
Minimum Speed (km/h),13.0
