Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250509_170238,1,0.00,52.8
20250509_170238,2,1.25,33.5
20250509_170238,3,2.39,48.0
20250509_170238,4,3.66,37.6
20250509_170238,5,4.80,73.2
20250509_170238,6,6.03,32.3
20250509_170238,7,7.20,37.8
20250509_170238,8,8.45,27.6
20250509_170238,9,9.66,49.1
20250509_170238,10,10.96,29.0
20250509_170238,11,12.08,46.0
20250509_170238,12,13.42,29.4
20250509_170238,13,14.56,41.8
20250509_170238,14,15.83,31.3
20250509_170238,15,16.98,60.3
20250509_170238,16,18.22,28.9
20250509_170238,17,19.37,40.7
20250509_170238,18,20.60,30.7
20250509_170238,19,21.82,43.1
20250509_170238,20,23.10,31.1
20250509_170238,21,24.30,44.0
20250509_170238,22,25.56,36.8
20250509_170238,23,26.89,17.5
20250509_170238,24,27.95,30.3
20250509_170238,25,29.12,42.2
20250509_170238,26,30.33,28.8
20250509_170238,27,31.49,47.2

Statistic,Value
Total Points,27
Average Speed (km/h),38.9
Maximum Speed (km/h),73.2
Minimum Speed (km/h),17.5
