Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
2,20250524_154411,1,0.00,55.8

Statistic,Value
Total Points,1
Average Speed (km/h),55.8
Maximum Speed (km/h),55.8
Minimum Speed (km/h),55.8
