Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
2,20250524_161925,1,0.00,51.2

Statistic,Value
Total Points,1
Average Speed (km/h),51.2
Maximum Speed (km/h),51.2
Minimum Speed (km/h),51.2
