Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_222451,1,0.00,84.6
20250521_222451,2,1.13,49.1
20250521_222451,3,1.54,0.0
20250521_222451,4,2.49,27.0
20250521_222451,5,2.95,97.3
20250521_222451,6,4.04,50.0
20250521_222451,7,4.44,78.9
20250521_222451,8,5.51,0.8
20250521_222451,9,5.92,96.7
20250521_222451,10,7.01,49.6
20250521_222451,11,7.37,71.9
20250521_222451,12,7.82,19.3

Statistic,Value
Record Mode,ROI
Total Points,12
Average Speed (km/h),52.1
Maximum Speed (km/h),97.3
Minimum Speed (km/h),0.0
