Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250515_180655,1,0.00,27.4
20250515_180655,2,1.10,28.3
20250515_180655,3,2.21,30.3
20250515_180655,4,3.49,44.0
20250515_180655,5,4.72,33.7
20250515_180655,6,5.93,34.4
20250515_180655,7,7.17,31.4
20250515_180655,8,8.38,30.4
20250515_180655,9,9.60,27.8
20250515_180655,10,10.75,39.0
20250515_180655,11,11.95,29.2
20250515_180655,12,13.14,30.3
20250515_180655,13,14.34,25.6
20250515_180655,14,15.47,31.2
20250515_180655,15,16.75,19.8
20250515_180655,16,17.89,31.8
20250515_180655,17,19.09,31.4
20250515_180655,18,20.31,32.8
20250515_180655,19,21.52,31.9
20250515_180655,20,22.75,27.8
20250515_180655,21,23.95,31.9
20250515_180655,22,25.13,33.1
20250515_180655,23,26.31,28.8
20250515_180655,24,27.44,37.7
20250515_180655,25,28.63,30.4
20250515_180655,26,29.87,32.6
20250515_180655,27,31.13,27.9

Statistic,Value
Total Points,27
Average Speed (km/h),31.2
Maximum Speed (km/h),44.0
Minimum Speed (km/h),19.8
