Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250524_114622,1,0.00,35.4
1,20250524_114622,2,1.43,54.8
1,20250524_114622,3,2.93,52.3
1,20250524_114622,4,4.44,59.9
1,20250524_114622,5,5.91,60.9
1,20250524_114622,6,7.42,54.3
1,20250524_114622,7,10.43,67.8
1,20250524_114622,8,11.90,64.2
1,20250524_114622,9,13.34,79.6
1,20250524_114622,10,15.92,63.3
1,20250524_114622,11,17.28,53.0
1,20250524_114622,12,18.60,53.4
1,20250524_114622,13,19.98,49.5
1,20250524_114622,14,21.35,58.4
1,20250524_114622,15,22.73,53.9
1,20250524_114622,16,24.17,51.5
1,20250524_114622,17,26.97,55.3
1,20250524_114622,18,28.40,44.4
1,20250524_114622,19,31.44,53.7
1,20250524_114622,20,32.87,51.1
1,20250524_114622,21,34.43,59.3
1,20250524_114622,22,35.90,53.0
1,20250524_114622,23,37.40,51.0
1,20250524_114622,24,39.06,55.8

Statistic,Value
Total Points,24
Average Speed (km/h),55.7
Maximum Speed (km/h),79.6
Minimum Speed (km/h),35.4
