Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_132539,1,0.00,55.8
1,20250523_132539,2,1.30,47.0
1,20250523_132539,3,2.64,59.0
1,20250523_132539,4,3.99,63.5
1,20250523_132539,5,5.36,61.2
1,20250523_132539,6,6.70,57.1
1,20250523_132539,7,8.12,49.8
1,20250523_132539,8,9.57,67.3
1,20250523_132539,9,11.03,59.4
1,20250523_132539,10,12.49,60.9
1,20250523_132539,11,14.01,45.8
1,20250523_132539,12,17.01,58.0
1,20250523_132539,13,18.52,49.0
1,20250523_132539,14,21.54,49.2
1,20250523_132539,15,22.95,49.1
1,20250523_132539,16,24.45,51.0
1,20250523_132539,17,25.98,51.7
1,20250523_132539,18,27.46,48.2
1,20250523_132539,19,28.99,57.3
1,20250523_132539,20,30.46,49.7
1,20250523_132539,21,31.97,43.8
1,20250523_132539,22,33.40,46.3
1,20250523_132539,23,34.74,53.5
1,20250523_132539,24,36.07,50.0
1,20250523_132539,25,37.35,53.9

Statistic,Value
Total Points,25
Average Speed (km/h),53.5
Maximum Speed (km/h),67.3
Minimum Speed (km/h),43.8
