Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_140807,1,0.00,49.2
1,20250522_140807,2,1.35,37.3
1,20250522_140807,3,7.92,37.7
1,20250522_140807,4,11.88,50.5
1,20250522_140807,5,17.52,56.1
1,20250522_140807,6,18.90,57.1
1,20250522_140807,7,20.37,52.1
1,20250522_140807,8,43.71,21.3
1,20250522_140807,9,46.68,45.2
1,20250522_140807,10,48.15,52.7
1,20250522_140807,11,52.70,31.6
1,20250522_140807,12,54.00,46.5

Statistic,Value
Total Points,12
Average Speed (km/h),44.8
Maximum Speed (km/h),57.1
Minimum Speed (km/h),21.3
