Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_115435,1,0.00,64.0

Statistic,Value
Total Points,1
Average Speed (km/h),64.0
Maximum Speed (km/h),64.0
Minimum Speed (km/h),64.0
