Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250515_165153,1,0.00,113.1
20250515_165153,2,0.20,35.7
20250515_165153,3,1.07,74.7
20250515_165153,4,1.55,69.9
20250515_165153,5,1.71,133.8
20250515_165153,6,1.88,100.9
20250515_165153,7,2.67,218.7
20250515_165153,8,2.95,73.2

Statistic,Value
Total Points,8
Average Speed (km/h),102.5
Maximum Speed (km/h),218.7
Minimum Speed (km/h),35.7
