Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_141624,1,0.00,32.9
1,20250522_141624,2,1.49,63.0
1,20250522_141624,3,2.99,36.3
1,20250522_141624,4,4.45,49.3
1,20250522_141624,5,5.96,40.0
1,20250522_141624,6,7.47,40.4
1,20250522_141624,7,9.03,34.7
1,20250522_141624,8,10.47,62.0
1,20250522_141624,9,12.00,35.6
1,20250522_141624,10,13.35,58.2
1,20250522_141624,11,14.71,39.1
1,20250522_141624,12,15.97,66.6
1,20250522_141624,13,17.29,36.2
1,20250522_141624,14,18.66,49.5
1,20250522_141624,15,20.01,43.0
1,20250522_141624,16,21.38,49.6
1,20250522_141624,17,22.75,44.6
1,20250522_141624,18,24.16,59.8
1,20250522_141624,19,25.51,41.7
1,20250522_141624,20,26.96,58.2
1,20250522_141624,21,28.44,40.0
1,20250522_141624,22,29.81,45.3
1,20250522_141624,23,31.45,36.7
1,20250522_141624,24,32.74,60.3
1,20250522_141624,25,34.20,34.6
1,20250522_141624,26,35.45,61.8
1,20250522_141624,27,36.83,32.1
1,20250522_141624,28,38.13,47.5

Statistic,Value
Total Points,28
Average Speed (km/h),46.4
Maximum Speed (km/h),66.6
Minimum Speed (km/h),32.1
