Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_162055,1,0.00,35.2
1,20250523_162055,2,1.50,34.0
1,20250523_162055,3,4.57,34.6
1,20250523_162055,4,6.07,29.4
1,20250523_162055,5,9.04,36.9
1,20250523_162055,6,10.61,40.1
1,20250523_162055,7,12.07,49.8
1,20250523_162055,8,13.53,49.7
1,20250523_162055,9,16.14,54.8
1,20250523_162055,10,17.49,56.2
1,20250523_162055,11,18.84,52.3
1,20250523_162055,12,20.19,36.3
1,20250523_162055,13,21.51,46.6
1,20250523_162055,14,22.92,37.4
1,20250523_162055,15,25.68,31.0
1,20250523_162055,16,27.11,37.4
1,20250523_162055,17,28.57,35.5
1,20250523_162055,18,31.49,36.3
1,20250523_162055,19,32.92,37.0
1,20250523_162055,20,35.99,47.4
1,20250523_162055,21,37.51,47.1

Statistic,Value
Total Points,21
Average Speed (km/h),41.2
Maximum Speed (km/h),56.2
Minimum Speed (km/h),29.4
