Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_165123,1,0.00,43.1
1,20250522_165123,2,1.63,50.7
1,20250522_165123,3,4.36,56.6
1,20250522_165123,4,5.57,26.9
1,20250522_165123,5,7.05,35.7
1,20250522_165123,6,9.68,20.6
1,20250522_165123,7,12.40,52.4
1,20250522_165123,8,15.19,54.6
1,20250522_165123,9,16.57,46.4
1,20250522_165123,10,19.53,40.2
1,20250522_165123,11,21.05,46.3
1,20250522_165123,12,22.75,24.8
1,20250522_165123,13,24.12,53.2
1,20250522_165123,14,25.47,41.8
1,20250522_165123,15,26.87,44.3
1,20250522_165123,16,28.10,29.0
1,20250522_165123,17,29.53,42.5
1,20250522_165123,18,30.77,33.4
1,20250522_165123,19,32.22,35.9
1,20250522_165123,20,33.49,39.2
1,20250522_165123,21,34.93,39.9
1,20250522_165123,22,36.24,42.9

Statistic,Value
Total Points,22
Average Speed (km/h),40.9
Maximum Speed (km/h),56.6
Minimum Speed (km/h),20.6
