Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_102455,1,0.00,47.7
1,20250522_102455,2,1.34,61.3
1,20250522_102455,3,2.86,47.4
1,20250522_102455,4,4.35,52.2
1,20250522_102455,5,5.85,61.6
1,20250522_102455,6,7.36,60.6
1,20250522_102455,7,8.88,56.0
1,20250522_102455,8,10.40,59.8
1,20250522_102455,9,11.89,57.9
1,20250522_102455,10,13.32,65.4
1,20250522_102455,11,15.95,51.0
1,20250522_102455,12,17.29,52.0
1,20250522_102455,13,18.63,48.4
1,20250522_102455,14,19.96,52.1
1,20250522_102455,15,21.28,53.5
1,20250522_102455,16,22.69,45.9
1,20250522_102455,17,24.09,54.1
1,20250522_102455,18,25.52,58.2
1,20250522_102455,19,26.82,49.8
1,20250522_102455,20,28.24,58.9
1,20250522_102455,21,29.75,51.7
1,20250522_102455,22,31.22,55.7
1,20250522_102455,23,32.73,58.9
1,20250522_102455,24,34.25,52.1
1,20250522_102455,25,35.79,53.1
1,20250522_102455,26,37.19,43.1
1,20250522_102455,27,43.23,31.6
1,20250522_102455,28,46.25,21.4

Statistic,Value
Total Points,28
Average Speed (km/h),52.2
Maximum Speed (km/h),65.4
Minimum Speed (km/h),21.4
