Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_155219,1,0.00,51.3
1,20250523_155219,2,1.33,60.9
1,20250523_155219,3,2.88,60.5
1,20250523_155219,4,7.32,54.2
1,20250523_155219,5,8.80,55.0
1,20250523_155219,6,10.29,48.5
1,20250523_155219,7,11.80,51.8
1,20250523_155219,8,13.30,61.5
1,20250523_155219,9,14.78,57.6
1,20250523_155219,10,17.81,61.0
1,20250523_155219,11,19.25,54.2
1,20250523_155219,12,22.18,49.0
1,20250523_155219,13,23.57,64.4
1,20250523_155219,14,24.80,60.2
1,20250523_155219,15,27.49,53.1
1,20250523_155219,16,28.82,62.0
1,20250523_155219,17,30.24,64.8
1,20250523_155219,18,31.58,55.7
1,20250523_155219,19,32.98,55.7
1,20250523_155219,20,34.46,52.9
1,20250523_155219,21,35.90,55.8

Statistic,Value
Total Points,21
Average Speed (km/h),56.7
Maximum Speed (km/h),64.8
Minimum Speed (km/h),48.5
