Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_134219,1,0.00,54.7
1,20250522_134219,2,9.68,30.1
1,20250522_134219,3,21.09,55.7

Statistic,Value
Total Points,3
Average Speed (km/h),46.8
Maximum Speed (km/h),55.7
Minimum Speed (km/h),30.1
