Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_151810,1,0.00,22.9
20250521_151810,2,0.02,16.3
20250521_151810,3,1.57,22.0
20250521_151810,4,1.58,15.7
20250521_151810,5,2.95,17.4
20250521_151810,6,4.44,23.3
20250521_151810,7,4.45,16.5
20250521_151810,8,5.92,17.3
20250521_151810,9,7.39,15.2
20250521_151810,10,8.91,21.8
20250521_151810,11,10.43,21.5
20250521_151810,12,11.86,23.0
20250521_151810,13,11.88,16.3
20250521_151810,14,13.36,25.8
20250521_151810,15,14.91,12.8
20250521_151810,16,16.33,22.1
20250521_151810,17,16.35,15.6
20250521_151810,18,17.85,20.6
20250521_151810,19,17.87,14.7
20250521_151810,20,19.42,15.5
20250521_151810,21,20.94,15.9
20250521_151810,22,22.47,24.0
20250521_151810,23,25.32,26.4
20250521_151810,24,25.34,18.8
20250521_151810,25,26.89,15.0
20250521_151810,26,28.35,21.9
20250521_151810,27,29.45,22.5

Statistic,Value
Total Points,27
Average Speed (km/h),19.3
Maximum Speed (km/h),26.4
Minimum Speed (km/h),12.8
