Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250513_114845,1,0.00,6.4
20250513_114845,2,1.80,8.7
20250513_114845,3,5.52,10.7
20250513_114845,4,7.39,9.7
20250513_114845,5,11.28,10.2
20250513_114845,6,13.70,10.0
20250513_114845,7,19.69,9.6
20250513_114845,8,21.74,11.2
20250513_114845,9,23.84,11.9
20250513_114845,10,32.27,10.2
20250513_114845,11,34.17,9.4
20250513_114845,12,36.29,11.1

Statistic,Value
Total Points,12
Average Speed (km/h),9.9
Maximum Speed (km/h),11.9
Minimum Speed (km/h),6.4
