Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250512_165233,1,0.00,33.4
20250512_165233,2,6.60,50.9
20250512_165233,3,10.01,41.4
20250512_165233,4,16.98,40.1
20250512_165233,5,24.79,22.1
20250512_165233,6,30.52,31.9
20250512_165233,7,32.30,5.1
20250512_165233,8,32.55,5.4
20250512_165233,9,41.79,128.6
20250512_165233,10,41.90,98.4
20250512_165233,11,42.02,85.3
20250512_165233,12,43.08,46.6
20250512_165233,13,43.72,28.6
20250512_165233,14,52.88,22.2
20250512_165233,15,54.93,18.9
20250512_165233,16,55.06,8.3
20250512_165233,17,55.32,7.0

Statistic,Value
Total Points,17
Average Speed (km/h),39.6
Maximum Speed (km/h),128.6
Minimum Speed (km/h),5.1
