Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250512_175614,1,0.00,47.9
20250512_175614,2,1.06,52.6
20250512_175614,3,2.01,59.9
20250512_175614,4,2.94,41.5
20250512_175614,5,3.87,41.8
20250512_175614,6,4.79,65.6
20250512_175614,7,5.02,49.6
20250512_175614,8,5.70,65.7
20250512_175614,9,6.68,68.4
20250512_175614,10,7.21,44.9
20250512_175614,11,7.61,55.0
20250512_175614,12,8.48,48.5
20250512_175614,13,9.32,49.1
20250512_175614,14,10.14,79.3
20250512_175614,15,10.99,16.1
20250512_175614,16,32.25,46.8
20250512_175614,17,33.26,52.5
20250512_175614,18,34.16,73.0
20250512_175614,19,35.05,59.1
20250512_175614,20,35.95,58.2
20250512_175614,21,36.98,44.8
20250512_175614,22,38.11,39.1
20250512_175614,23,39.31,66.5
20250512_175614,24,42.15,28.3
20250512_175614,25,43.20,77.7
20250512_175614,26,44.09,66.0
20250512_175614,27,45.81,28.2

Statistic,Value
Total Points,27
Average Speed (km/h),52.8
Maximum Speed (km/h),79.3
Minimum Speed (km/h),16.1
