Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250524_162341,1,0.00,45.0
1,20250524_162341,2,1.48,55.7
1,20250524_162341,3,2.81,58.1
1,20250524_162341,4,4.07,64.1
1,20250524_162341,5,5.46,44.7
1,20250524_162341,6,6.76,25.1
1,20250524_162341,7,8.16,53.9
1,20250524_162341,8,9.46,51.1
1,20250524_162341,9,10.94,60.3
1,20250524_162341,10,12.29,57.5
1,20250524_162341,11,13.66,74.2
1,20250524_162341,12,15.11,64.0
1,20250524_162341,13,16.60,64.5
1,20250524_162341,14,18.09,53.1
1,20250524_162341,15,19.55,55.2
1,20250524_162341,16,21.00,68.1
1,20250524_162341,17,22.35,53.6
1,20250524_162341,18,23.65,48.9
1,20250524_162341,19,24.92,48.6
1,20250524_162341,20,26.26,54.0
1,20250524_162341,21,27.64,66.5
1,20250524_162341,22,29.03,64.5
1,20250524_162341,23,30.46,68.0
1,20250524_162341,24,31.91,47.6

Statistic,Value
Total Points,24
Average Speed (km/h),56.1
Maximum Speed (km/h),74.2
Minimum Speed (km/h),25.1
