Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250524_164528,1,0.00,44.0
1,20250524_164528,2,1.40,42.8
1,20250524_164528,3,2.79,47.2
1,20250524_164528,4,4.15,54.8
1,20250524_164528,5,5.60,57.7
1,20250524_164528,6,7.08,50.3
1,20250524_164528,7,8.63,31.4
1,20250524_164528,8,10.10,54.2
1,20250524_164528,9,11.57,49.2
1,20250524_164528,10,13.03,58.0
1,20250524_164528,11,14.53,41.9
1,20250524_164528,12,16.07,37.4
1,20250524_164528,13,22.08,45.0
1,20250524_164528,14,23.52,46.3
1,20250524_164528,15,25.08,53.4
1,20250524_164528,16,26.58,45.5
1,20250524_164528,17,28.09,43.9
1,20250524_164528,18,29.56,41.1
1,20250524_164528,19,31.19,40.2
1,20250524_164528,20,32.61,53.3
1,20250524_164528,21,34.06,57.5
1,20250524_164528,22,35.50,51.2
1,20250524_164528,23,36.81,43.9
1,20250524_164528,24,39.39,50.0
1,20250524_164528,25,40.75,39.6

Statistic,Value
Total Points,25
Average Speed (km/h),47.2
Maximum Speed (km/h),58.0
Minimum Speed (km/h),31.4
