Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_095455,1,0.00,35.9
1,20250523_095455,2,1.39,35.0
1,20250523_095455,3,2.70,45.4
1,20250523_095455,4,6.91,34.6
1,20250523_095455,5,8.38,37.8
1,20250523_095455,6,9.84,27.8
1,20250523_095455,7,11.29,38.1
1,20250523_095455,8,12.71,42.5
1,20250523_095455,9,14.18,42.5
1,20250523_095455,10,15.73,51.5
1,20250523_095455,11,17.20,39.7
1,20250523_095455,12,18.75,36.2
1,20250523_095455,13,20.14,41.9
1,20250523_095455,14,26.18,40.4
1,20250523_095455,15,27.89,39.4
1,20250523_095455,16,29.21,39.0
1,20250523_095455,17,32.20,49.2
1,20250523_095455,18,33.70,41.4
1,20250523_095455,19,36.74,35.7
1,20250523_095455,20,38.22,43.3

Statistic,Value
Total Points,20
Average Speed (km/h),39.9
Maximum Speed (km/h),51.5
Minimum Speed (km/h),27.8
