Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_152018,1,0.00,28.5
20250521_152018,2,0.02,20.3
20250521_152018,3,4.35,31.6
20250521_152018,4,4.37,22.5
20250521_152018,5,5.77,33.9
20250521_152018,6,5.79,24.1
20250521_152018,7,7.29,20.5
20250521_152018,8,8.81,25.5
20250521_152018,9,10.24,24.5
20250521_152018,10,13.26,31.3
20250521_152018,11,13.28,22.1
20250521_152018,12,14.80,34.2
20250521_152018,13,16.27,25.2
20250521_152018,14,17.77,34.7
20250521_152018,15,17.78,24.7
20250521_152018,16,20.82,30.8
20250521_152018,17,20.84,21.7
20250521_152018,18,22.31,29.8
20250521_152018,19,22.32,21.0
20250521_152018,20,23.77,30.0
20250521_152018,21,23.79,21.2
20250521_152018,22,25.24,32.4
20250521_152018,23,25.26,23.1
20250521_152018,24,26.34,12.3
20250521_152018,25,26.37,13.7
20250521_152018,26,26.69,27.8
20250521_152018,27,26.71,19.6

Statistic,Value
Total Points,27
Average Speed (km/h),25.4
Maximum Speed (km/h),34.7
Minimum Speed (km/h),12.3
