Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_134630,1,0.00,63.5
20250521_134630,2,1.41,62.1
20250521_134630,3,2.86,71.7
20250521_134630,4,4.25,69.1
20250521_134630,5,5.71,68.8
20250521_134630,6,7.27,80.7
20250521_134630,7,8.73,62.4
20250521_134630,8,10.20,66.2
20250521_134630,9,11.74,66.6
20250521_134630,10,16.25,67.1
20250521_134630,11,17.73,50.9
20250521_134630,12,19.23,65.3
20250521_134630,13,20.71,65.0
20250521_134630,14,22.19,60.0

Statistic,Value
Total Points,14
Average Speed (km/h),65.7
Maximum Speed (km/h),80.7
Minimum Speed (km/h),50.9
