Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_152221,1,0.00,15.6
20250521_152221,2,1.42,21.8
20250521_152221,3,2.77,16.8
20250521_152221,4,4.22,24.0
20250521_152221,5,5.62,14.2
20250521_152221,6,7.14,31.9
20250521_152221,7,7.16,22.6
20250521_152221,8,8.58,23.6
20250521_152221,9,11.63,24.4
20250521_152221,10,11.65,17.5
20250521_152221,11,13.18,32.7
20250521_152221,12,13.20,23.0
20250521_152221,13,13.21,25.3
20250521_152221,14,14.56,20.7
20250521_152221,15,14.58,14.8
20250521_152221,16,16.18,21.2
20250521_152221,17,16.20,26.1
20250521_152221,18,17.57,20.9
20250521_152221,19,17.58,14.9
20250521_152221,20,19.15,26.6
20250521_152221,21,19.17,32.8
20250521_152221,22,20.72,22.8
20250521_152221,23,20.74,16.2
20250521_152221,24,22.01,32.5
20250521_152221,25,22.02,23.1
20250521_152221,26,25.06,32.3
20250521_152221,27,25.07,23.9

Statistic,Value
Total Points,27
Average Speed (km/h),23.0
Maximum Speed (km/h),32.8
Minimum Speed (km/h),14.2
