Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_135236,1,0.00,20.4
20250521_135236,2,1.38,23.2
20250521_135236,3,2.70,23.0
20250521_135236,4,5.47,30.1
20250521_135236,5,6.91,23.1
20250521_135236,6,8.34,33.4
20250521_135236,7,8.36,23.5
20250521_135236,8,9.79,25.8
20250521_135236,9,9.81,18.2
20250521_135236,10,11.18,32.1
20250521_135236,11,12.75,34.7
20250521_135236,12,14.20,30.2
20250521_135236,13,15.70,28.4
20250521_135236,14,15.72,20.0
20250521_135236,15,17.23,31.5
20250521_135236,16,18.70,23.1
20250521_135236,17,20.17,30.5
20250521_135236,18,21.70,30.3
20250521_135236,19,23.14,32.1
20250521_135236,20,24.64,21.3
20250521_135236,21,26.19,30.9
20250521_135236,22,27.68,20.2
20250521_135236,23,29.20,32.1
20250521_135236,24,30.71,28.3
20250521_135236,25,32.18,30.1
20250521_135236,26,33.70,20.2
20250521_135236,27,35.14,30.8

Statistic,Value
Total Points,27
Average Speed (km/h),26.9
Maximum Speed (km/h),34.7
Minimum Speed (km/h),18.2
