Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_102721,1,0.00,31.5
1,20250523_102721,2,1.32,44.6
1,20250523_102721,3,2.72,40.4
1,20250523_102721,4,11.41,43.5
1,20250523_102721,5,21.94,45.9
1,20250523_102721,6,24.92,40.2
1,20250523_102721,7,26.43,36.7
1,20250523_102721,8,27.91,48.3
1,20250523_102721,9,29.43,41.0
1,20250523_102721,10,33.87,34.2
1,20250523_102721,11,36.54,41.5
1,20250523_102721,12,37.85,42.4

Statistic,Value
Total Points,12
Average Speed (km/h),40.8
Maximum Speed (km/h),48.3
Minimum Speed (km/h),31.5
