Session ID,Timestamp File,Transit Number,Relative Start Time (s),Avg Transit Speed (km/h)
1,20250521_231436,1,0.00,44.3
1,20250521_231436,2,1.52,55.6
1,20250521_231436,3,2.97,50.6
1,20250521_231436,4,4.58,49.8
1,20250521_231436,5,6.04,32.4
1,20250521_231436,6,6.06,19.6
1,20250521_231436,7,6.06,11.9
1,20250521_231436,8,6.04,24.3
1,20250521_231436,9,7.69,18.1
1,20250521_231436,10,7.72,16.8
1,20250521_231436,11,7.73,16.5
1,20250521_231436,12,7.74,16.7
1,20250521_231436,13,8.99,53.8
1,20250521_231436,14,10.48,52.9
1,20250521_231436,15,11.52,3.6
1,20250521_231436,16,11.54,3.1
1,20250521_231436,17,11.95,3.0
1,20250521_231436,18,12.01,55.9
1,20250521_231436,19,12.13,2.4
1,20250521_231436,20,12.38,3.7
1,20250521_231436,21,12.75,2.8
1,20250521_231436,22,13.46,40.3
1,20250521_231436,23,13.47,27.7
1,20250521_231436,24,15.04,53.7
1,20250521_231436,25,16.52,68.2
1,20250521_231436,26,18.07,56.4
1,20250521_231436,27,19.57,50.2
1,20250521_231436,28,20.99,55.3
1,20250521_231436,29,22.54,61.1
1,20250521_231436,30,23.02,1.3

Statistic,Value
Total Transits Recorded,30
Overall Average Speed (km/h),31.7
Maximum Avg Transit Speed (km/h),68.2
Minimum Avg Transit Speed (km/h),1.3
