Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_150416,1,0.00,63.4
1,20250523_150416,2,2.98,54.0
1,20250523_150416,3,4.31,88.6
1,20250523_150416,4,5.71,48.4
1,20250523_150416,5,7.01,69.6
1,20250523_150416,6,8.33,43.9
1,20250523_150416,7,9.62,85.2
1,20250523_150416,8,11.00,49.6
1,20250523_150416,9,13.84,50.2
1,20250523_150416,10,15.22,68.5
1,20250523_150416,11,18.08,74.9
1,20250523_150416,12,19.54,46.9
1,20250523_150416,13,21.09,42.8
1,20250523_150416,14,22.53,46.4
1,20250523_150416,15,25.56,43.8
1,20250523_150416,16,27.04,67.9
1,20250523_150416,17,28.55,46.7
1,20250523_150416,18,33.06,54.6
1,20250523_150416,19,34.59,39.2
1,20250523_150416,20,35.99,56.4

Statistic,Value
Total Points,20
Average Speed (km/h),57.1
Maximum Speed (km/h),88.6
Minimum Speed (km/h),39.2
