Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_152802,1,0.00,48.7
1,20250523_152802,2,1.42,60.1
1,20250523_152802,3,8.59,59.3
1,20250523_152802,4,13.11,43.8
1,20250523_152802,5,14.61,83.1
1,20250523_152802,6,17.62,56.1
1,20250523_152802,7,18.88,45.7
1,20250523_152802,8,22.81,40.0
1,20250523_152802,9,24.19,41.2
1,20250523_152802,10,27.21,21.8
1,20250523_152802,11,28.43,40.9
1,20250523_152802,12,29.90,42.5
1,20250523_152802,13,32.91,37.4
1,20250523_152802,14,34.32,46.4
1,20250523_152802,15,35.72,38.3

Statistic,Value
Total Points,15
Average Speed (km/h),47.0
Maximum Speed (km/h),83.1
Minimum Speed (km/h),21.8
