Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250524_095030,1,0.00,49.3
1,20250524_095030,2,1.50,40.5
1,20250524_095030,3,2.95,41.2
1,20250524_095030,4,4.44,41.4
1,20250524_095030,5,5.94,39.3
1,20250524_095030,6,7.37,48.4
1,20250524_095030,7,8.87,47.2
1,20250524_095030,8,10.33,51.3
1,20250524_095030,9,11.84,39.9
1,20250524_095030,10,13.36,37.4
1,20250524_095030,11,14.85,46.1
1,20250524_095030,12,16.37,38.3
1,20250524_095030,13,17.87,50.2
1,20250524_095030,14,20.90,45.7
1,20250524_095030,15,22.42,40.3
1,20250524_095030,16,25.42,49.8
1,20250524_095030,17,26.93,43.1
1,20250524_095030,18,28.45,31.9
1,20250524_095030,19,29.87,37.2
1,20250524_095030,20,31.16,34.8
1,20250524_095030,21,32.52,31.4
1,20250524_095030,22,33.83,36.9
1,20250524_095030,23,35.13,40.8
1,20250524_095030,24,36.43,35.9
1,20250524_095030,25,37.83,35.6

Statistic,Value
Total Points,25
Average Speed (km/h),41.4
Maximum Speed (km/h),51.3
Minimum Speed (km/h),31.4
