Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_134538,1,0.00,69.1
20250521_134538,2,1.53,71.1
20250521_134538,3,2.99,76.3
20250521_134538,4,3.90,14.1
20250521_134538,5,3.92,11.4
20250521_134538,6,4.00,7.8
20250521_134538,7,4.02,9.9
20250521_134538,8,4.45,72.0
20250521_134538,9,5.76,69.3
20250521_134538,10,7.07,64.6
20250521_134538,11,8.38,48.3
20250521_134538,12,8.39,49.0
20250521_134538,13,9.78,62.4
20250521_134538,14,11.13,47.6
20250521_134538,15,11.14,46.5
20250521_134538,16,12.48,72.2
20250521_134538,17,13.76,60.4
20250521_134538,18,15.20,68.3

Statistic,Value
Total Points,18
Average Speed (km/h),51.1
Maximum Speed (km/h),76.3
Minimum Speed (km/h),7.8
