Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_114308,1,0.00,50.8
1,20250522_114308,2,1.52,45.4
1,20250522_114308,3,3.03,73.5
1,20250522_114308,4,4.56,55.6
1,20250522_114308,5,7.51,46.9
1,20250522_114308,6,9.08,58.8
1,20250522_114308,7,10.51,24.4
1,20250522_114308,8,11.98,83.8
1,20250522_114308,9,13.31,53.0
1,20250522_114308,10,14.68,68.5
1,20250522_114308,11,15.94,52.3
1,20250522_114308,12,17.29,52.3
1,20250522_114308,13,18.64,52.6
1,20250522_114308,14,21.27,51.8
1,20250522_114308,15,24.12,54.9
1,20250522_114308,16,25.61,58.1
1,20250522_114308,17,27.03,41.9
1,20250522_114308,18,28.50,67.9
1,20250522_114308,19,30.01,52.6
1,20250522_114308,20,31.55,58.7
1,20250522_114308,21,32.95,52.6
1,20250522_114308,22,34.49,65.6
1,20250522_114308,23,35.98,45.6
1,20250522_114308,24,37.50,78.4
1,20250522_114308,25,39.98,65.0

Statistic,Value
Total Points,25
Average Speed (km/h),56.4
Maximum Speed (km/h),83.8
Minimum Speed (km/h),24.4
