Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_164722,1,0.00,44.5
1,20250522_164722,2,1.42,22.7
1,20250522_164722,3,4.07,29.3
1,20250522_164722,4,6.74,57.4
1,20250522_164722,5,9.59,39.7
1,20250522_164722,6,12.51,53.2
1,20250522_164722,7,15.57,44.5
1,20250522_164722,8,16.95,47.1
1,20250522_164722,9,18.44,59.5
1,20250522_164722,10,21.22,48.2
1,20250522_164722,11,23.92,36.0
1,20250522_164722,12,29.40,42.7
1,20250522_164722,13,35.35,46.5

Statistic,Value
Total Points,13
Average Speed (km/h),43.9
Maximum Speed (km/h),59.5
Minimum Speed (km/h),22.7
