Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_150217,1,0.00,77.8
1,20250523_150217,2,1.36,87.8
1,20250523_150217,3,2.91,79.0
1,20250523_150217,4,4.43,78.5
1,20250523_150217,5,7.47,71.9
1,20250523_150217,6,10.50,58.2
1,20250523_150217,7,12.01,69.8
1,20250523_150217,8,13.52,70.3
1,20250523_150217,9,16.51,68.9
1,20250523_150217,10,17.98,60.9
1,20250523_150217,11,19.48,62.7
1,20250523_150217,12,21.04,61.3
1,20250523_150217,13,22.51,66.2
1,20250523_150217,14,24.03,58.2
1,20250523_150217,15,25.52,77.2
1,20250523_150217,16,27.06,67.9
1,20250523_150217,17,28.55,46.7
1,20250523_150217,18,30.02,40.8
1,20250523_150217,19,31.54,46.0
1,20250523_150217,20,34.48,54.9

Statistic,Value
Total Points,20
Average Speed (km/h),65.2
Maximum Speed (km/h),87.8
Minimum Speed (km/h),40.8
