Session ID,Timestamp File,Transit Number,Relative Start Time (s),Avg Transit Speed (km/h)
1,20250521_163915,1,0.00,44.3
1,20250521_163915,2,1.52,55.6
1,20250521_163915,3,2.97,50.6
1,20250521_163915,4,4.58,49.8
1,20250521_163915,5,6.04,24.3
1,20250521_163915,6,7.69,17.4
1,20250521_163915,7,8.99,53.8
1,20250521_163915,8,10.48,52.9
1,20250521_163915,9,11.95,3.3
1,20250521_163915,10,12.01,55.9
1,20250521_163915,11,12.37,3.2
1,20250521_163915,12,13.46,34.0
1,20250521_163915,13,15.04,53.7
1,20250521_163915,14,16.52,68.2
1,20250521_163915,15,18.07,56.4
1,20250521_163915,16,19.57,50.2
1,20250521_163915,17,20.20,4.0
1,20250521_163915,18,20.99,55.3
1,20250521_163915,19,22.54,61.1
1,20250521_163915,20,23.41,2.7
1,20250521_163915,21,24.04,59.1
1,20250521_163915,22,25.50,47.7
1,20250521_163915,23,27.06,50.2
1,20250521_163915,24,28.55,56.0
1,20250521_163915,25,30.06,48.1
1,20250521_163915,26,31.55,50.0
1,20250521_163915,27,32.98,55.5
1,20250521_163915,28,34.53,57.5
1,20250521_163915,29,36.00,55.3
1,20250521_163915,30,37.52,48.1

Statistic,Value
Total Transits Recorded,30
Overall Average Speed (km/h),44.1
Maximum Avg Transit Speed (km/h),68.2
Minimum Avg Transit Speed (km/h),2.7
