Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_161546,1,0.00,51.7

Statistic,Value
Total Points,1
Average Speed (km/h),51.7
Maximum Speed (km/h),51.7
Minimum Speed (km/h),51.7
