Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250521_153247,1,0.00,56.3
20250521_153247,2,0.01,56.0
20250521_153247,3,1.42,30.2
20250521_153247,4,2.77,49.3
20250521_153247,5,2.78,49.1
20250521_153247,6,4.22,45.4
20250521_153247,7,4.23,44.5
20250521_153247,8,5.62,45.5
20250521_153247,9,5.63,47.7
20250521_153247,10,7.15,41.8
20250521_153247,11,7.16,40.6
20250521_153247,12,8.58,44.9
20250521_153247,13,8.59,44.6
20250521_153247,14,11.64,45.8
20250521_153247,15,11.64,45.1
20250521_153247,16,13.19,31.4
20250521_153247,17,13.20,32.0
20250521_153247,18,13.20,31.4
20250521_153247,19,14.58,58.9
20250521_153247,20,16.18,36.3
20250521_153247,21,16.19,34.6
20250521_153247,22,16.20,30.6
20250521_153247,23,17.58,52.9
20250521_153247,24,19.15,46.1
20250521_153247,25,19.16,46.4
20250521_153247,26,19.17,44.6
20250521_153247,27,19.18,43.5
20250521_153247,28,20.73,36.8
20250521_153247,29,20.74,36.6
20250521_153247,30,20.75,36.1
20250521_153247,31,22.01,53.3
20250521_153247,32,22.02,52.9
20250521_153247,33,25.08,70.3
20250521_153247,34,25.08,69.3
20250521_153247,35,26.59,56.2
20250521_153247,36,27.92,35.0
20250521_153247,37,27.93,35.2
20250521_153247,38,27.94,34.8
20250521_153247,39,27.94,33.7
20250521_153247,40,29.10,46.8
20250521_153247,41,29.10,46.7
20250521_153247,42,30.48,31.7
20250521_153247,43,30.49,32.3
20250521_153247,44,30.50,31.8
20250521_153247,45,31.75,53.2
20250521_153247,46,33.21,47.3
20250521_153247,47,33.22,45.8
20250521_153247,48,33.22,43.9
20250521_153247,49,34.59,31.9
20250521_153247,50,34.60,33.7
20250521_153247,51,34.61,35.0
20250521_153247,52,34.62,35.8
20250521_153247,53,37.24,57.3
20250521_153247,54,38.74,40.8
20250521_153247,55,38.75,39.8
20250521_153247,56,38.76,38.2

Statistic,Value
Total Points,56
Average Speed (km/h),43.2
Maximum Speed (km/h),70.3
Minimum Speed (km/h),30.2
