Time(s),Speed(km/h)
0.00,10.4
1.25,6.5
2.39,9.6
3.66,8.0
4.80,14.8
6.03,5.5
7.19,6.1
8.44,5.4
9.66,9.6
10.95,6.3
12.07,8.6
13.42,5.7
14.56,7.5
15.83,5.5
16.98,12.0
18.21,6.6
19.36,8.1
20.60,6.2
21.82,8.8
23.10,6.2
24.29,8.7
25.55,7.3
26.89,3.7
27.95,5.7
29.11,7.9
30.33,4.7
31.49,9.4

Statistics,
Average,7.6
Maximum,14.8
Minimum,3.7
