Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250511_105653,1,0.00,32.4
20250511_105653,2,0.88,21.7
20250511_105653,3,2.00,37.1
20250511_105653,4,3.24,20.1
20250511_105653,5,4.43,28.5
20250511_105653,6,5.71,19.5
20250511_105653,7,6.84,33.3
20250511_105653,8,8.02,21.3
20250511_105653,9,9.17,32.8
20250511_105653,10,10.43,21.0
20250511_105653,11,11.22,10.3
20250511_105653,12,11.61,27.0
20250511_105653,13,12.83,21.5
20250511_105653,14,14.00,30.3
20250511_105653,15,15.26,21.0
20250511_105653,16,16.37,31.7
20250511_105653,17,17.62,20.4
20250511_105653,18,18.73,38.4
20250511_105653,19,21.20,34.6
20250511_105653,20,22.47,20.5
20250511_105653,21,23.64,27.2
20250511_105653,22,24.88,21.5
20250511_105653,23,26.00,34.9

Statistic,Value
Total Points,23
Average Speed (km/h),26.4
Maximum Speed (km/h),38.4
Minimum Speed (km/h),10.3
