Timestamp,Point Number,Relative Time (s),Speed (km/h)
20250515_180202,1,0.00,25.7
20250515_180202,2,0.88,26.5
20250515_180202,3,2.00,46.0
20250515_180202,4,3.25,24.2
20250515_180202,5,4.43,32.2
20250515_180202,6,5.71,22.3
20250515_180202,7,6.84,38.3
20250515_180202,8,8.03,24.9
20250515_180202,9,8.77,11.8
20250515_180202,10,9.17,39.9
20250515_180202,11,10.44,24.0
20250515_180202,12,11.22,12.3
20250515_180202,13,11.61,33.3
20250515_180202,14,12.84,25.5
20250515_180202,15,14.00,37.0
20250515_180202,16,15.26,23.6
20250515_180202,17,16.37,36.1
20250515_180202,18,17.62,22.5
20250515_180202,19,18.74,45.6
20250515_180202,20,19.25,5.1
20250515_180202,21,21.20,43.7

Statistic,Value
Total Points,21
Average Speed (km/h),28.6
Maximum Speed (km/h),46.0
Minimum Speed (km/h),5.1
