Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250522_143657,1,0.00,37.9
1,20250522_143657,2,1.34,51.0
1,20250522_143657,3,2.84,24.1
1,20250522_143657,4,4.19,55.0
1,20250522_143657,5,5.67,38.1
1,20250522_143657,6,8.64,41.2
1,20250522_143657,7,11.65,47.1
1,20250522_143657,8,14.61,42.8
1,20250522_143657,9,16.10,29.9
1,20250522_143657,10,17.62,39.0
1,20250522_143657,11,20.60,33.7
1,20250522_143657,12,25.06,74.4
1,20250522_143657,13,26.79,8.6
1,20250522_143657,14,29.60,29.4
1,20250522_143657,15,31.01,33.0
1,20250522_143657,16,35.53,40.9
1,20250522_143657,17,36.79,58.7

Statistic,Value
Total Points,17
Average Speed (km/h),40.3
Maximum Speed (km/h),74.4
Minimum Speed (km/h),8.6
