Session ID,Timestamp File,Transit Number,Relative Start Time (s),Avg Transit Speed (km/h)
1,20250521_163703,1,0.00,66.9
1,20250521_163703,2,2.88,71.5
1,20250521_163703,3,4.39,47.3
1,20250521_163703,4,5.81,28.8
1,20250521_163703,5,7.35,50.0
1,20250521_163703,6,8.83,44.0
1,20250521_163703,7,10.31,52.0
1,20250521_163703,8,11.74,55.7
1,20250521_163703,9,13.05,48.5
1,20250521_163703,10,14.35,40.6
1,20250521_163703,11,15.67,49.0
1,20250521_163703,12,16.98,49.1
1,20250521_163703,13,18.31,52.3
1,20250521_163703,14,21.05,55.0
1,20250521_163703,15,22.49,57.4
1,20250521_163703,16,23.88,61.3
1,20250521_163703,17,25.29,48.5
1,20250521_163703,18,26.73,48.3
1,20250521_163703,19,28.19,56.1
1,20250521_163703,20,29.70,56.5
1,20250521_163703,21,32.72,34.3
1,20250521_163703,22,34.28,55.6
1,20250521_163703,23,35.72,57.8
1,20250521_163703,24,37.16,47.7

Statistic,Value
Total Transits Recorded,24
Overall Average Speed (km/h),51.4
Maximum Avg Transit Speed (km/h),71.5
Minimum Avg Transit Speed (km/h),28.8
