Session ID,Timestamp File,Point Number,Relative Time (s),Speed (km/h)
1,20250523_120507,1,0.00,49.5
1,20250523_120507,2,1.50,38.9
1,20250523_120507,3,2.82,47.4
1,20250523_120507,4,4.15,40.3
1,20250523_120507,5,5.51,42.1
1,20250523_120507,6,6.87,38.2
1,20250523_120507,7,8.24,40.1
1,20250523_120507,8,9.62,47.3
1,20250523_120507,9,11.02,47.7
1,20250523_120507,10,12.42,71.4
1,20250523_120507,11,13.80,48.6
1,20250523_120507,12,15.33,51.9
1,20250523_120507,13,16.74,34.7
1,20250523_120507,14,18.17,40.6
1,20250523_120507,15,19.64,38.8
1,20250523_120507,16,20.96,46.4
1,20250523_120507,17,22.25,37.7
1,20250523_120507,18,23.57,49.9
1,20250523_120507,19,24.94,44.2
1,20250523_120507,20,26.29,42.0
1,20250523_120507,21,27.67,45.4
1,20250523_120507,22,28.97,57.7
1,20250523_120507,23,30.43,50.8
1,20250523_120507,24,31.84,43.6
1,20250523_120507,25,33.29,50.3
1,20250523_120507,26,34.78,57.2

Statistic,Value
Total Points,26
Average Speed (km/h),46.3
Maximum Speed (km/h),71.4
Minimum Speed (km/h),34.7
